,x,y,z
5.51,0.005432,-0.293243,-0.956284
5.52,0.001892,-0.283829,-0.943588
5.53,-0.003098,-0.284225,-0.943863
5.54,-0.00383,-0.29364,-0.95636
5.55,0.004425,-0.299652,-0.961182
5.56,0.007843,-0.289474,-0.946854
5.57,-0.000351,-0.287094,-0.941681
5.58,-0.004562,-0.292404,-0.948242
5.59,-0.000763,-0.293091,-0.958939
5.6,0.005234,-0.288376,-0.954102
5.61,0.003159,-0.284805,-0.943512
5.62,-0.00444,-0.288208,-0.944595
5.63,-0.003113,-0.294418,-0.957611
5.64,0.005142,-0.296692,-0.958237
5.65,0.003784,-0.287216,-0.943268
5.66,-0.000702,-0.283615,-0.943832
5.67,-0.002258,-0.294678,-0.954697
5.68,0.002655,-0.296982,-0.960403
5.69,0.006851,-0.287827,-0.949158
5.7,-0.002731,-0.28508,-0.941757
5.71,-0.006012,-0.291458,-0.949921
5.72,-0.0020079,-0.2921721,-0.9581819
5.73,0.0064832,-0.2897722,-0.9544082
5.74,0.0049178,-0.2873674,-0.9446308
5.75,-0.0033984,-0.2915234,-0.9454715
5.76,-0.0074459,-0.2955889,-0.9562575
5.77,-0.0002504,-0.2939091,-0.9543379
5.78,0.0059205,-0.2863446,-0.946312
5.79,0.0010334,-0.285066,-0.9444919
5.8,-0.0018069,-0.2923828,-0.9506062
5.81,0.0017285,-0.2935063,-0.9574694
5.82,0.0038968,-0.2901077,-0.9482716
5.83,-0.0007924,-0.2867329,-0.9431156
5.84,-0.0035326,-0.289665,-0.9496447
5.85,0.000519,-0.29462,-0.9577101
5.86,0.0040271,-0.2931138,-0.9561307
5.87,0.0015154,-0.2842316,-0.943649
5.88,-0.0049758,-0.2850694,-0.9440036
